iris;37,500;35,000;39,000;37,000;1,581
bupa;86,250;55,000;62,000;58,750;2,586
pima;192,000;146,000;152,000;149,000;2,121
haberman;76,500;58,000;63,000;60,000;2,121
wdbc;142,250;127,000;138,000;131,250;4,323
thyroid;53,750;51,000;54,000;52,000;1,225
wine;44,500;41,000;43,000;42,000;0,707
