Iteration	NumAgents	BestAccuracy	BestComplexity	BestNoMatch	BestGenerality	AveAccuracy	AveComplexity	AveNoMatch	AveGenerality
0	80	0.5	2	0.0	0.857142857143	0.157076302489	5.0875	0.682279400752	0.778539777022
1	70	0.5	2	0.0	0.857142857143	0.269955853918	4.64285714286	0.458209739452	0.801125148472
2	64	0.5	2	0.0	0.857142857143	0.328087669236	4.015625	0.348119652051	0.815376393613
3	62	0.5	2	0.0	0.857142857143	0.388876481702	3.83870967742	0.227868082429	0.826316655695
4	65	0.502083333333	4	0.0	0.833333333333	0.43110549229	3.44615384615	0.147514089119	0.838391766963
5	69	0.522222222222	3	0.0	0.857142857143	0.446567994202	3.07246376812	0.12594821182	0.840150842946
6	72	0.522222222222	3	0.0	0.857142857143	0.458853381215	2.98611111111	0.108956172871	0.838654257999
7	74	0.522222222222	3	0.0	0.857142857143	0.496368825124	2.72972972973	0.039425763218	0.857397193111
8	79	0.522222222222	3	0.0	0.857142857143	0.49784734718	2.73417721519	0.0385408993206	0.864512471655
9	83	0.522222222222	3	0.0	0.857142857143	0.496062624809	2.63855421687	0.0433757366618	0.869047619048
10	88	0.522222222222	3	0.0	0.857142857143	0.509658178317	2.79545454545	0.0168394053839	0.869633838384
11	90	0.522222222222	3	0.0	0.857142857143	0.508394491991	2.93333333333	0.0231465256733	0.871243386243
12	92	0.529166666667	3	0.0	0.888888888889	0.514702724964	2.76086956522	0.012497783599	0.875301932367
13	93	0.529166666667	3	0.0	0.888888888889	0.513161362167	2.74193548387	0.0191763220594	0.878946919269
14	96	0.529166666667	3	0.0	0.888888888889	0.520589668834	2.89583333333	0.00619603761949	0.876901455026
15	98	0.529166666667	3	0.0	0.888888888889	0.523985212077	2.91836734694	0.000254395386964	0.879818594104
16	99	0.529166666667	3	0.0	0.888888888889	0.525660511049	2.9898989899	0.0	0.874298540965
17	100	0.529166666667	3	0.0	0.888888888889	0.526417119649	3.25	0.0	0.86746031746
18	100	0.529861111111	4	0.0	0.892857142857	0.527635665293	3.4	0.0	0.859206349206
19	100	0.529861111111	4	0.0	0.892857142857	0.528812842989	3.56	0.0	0.855277777778
20	100	0.529861111111	4	0.0	0.892857142857	0.529617553419	3.63	0.0	0.85619047619
